Player,Nation,Age,Born,Comp,Pos,MP,Starts,Min,90s,Tkl,Won,Succ,Cmp,A-xAG,PSxG+/-,G-PK,npxG,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,CrdY_per90,CrdR_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,Cmp_per90,1/3_per90,PPA_per90,CrsPA_per90,Sw_per90,Crs_per90,Tkl_per90,Int_per90,Clr_per90,Err_per90,Fld_per90,Touches_per90,Succ_per90,Carries_per90,Mis_per90,Dis_per90,Fls_per90,PKwon_per90,PKcon_per90,Recov_per90,GA_per90,SoTA_per90,Saves_per90,PKm_per90,PKsv_per90,Thr_per90,Stp_per90,Won_per90,#OPA_per90,PSxG_per90,G-xG_per90,SoT%,G/Sh,/90,CS%,AvgLen,Launch%,AvgDist,Stp%,Cmp%,Tkl%,Succ%,Won%,Save%,Born_year,Player_clean
Giorgio Altare,it ITA,26.0,1998.0,it Serie A,DF,12,8,753,8.4,13,19,5,283,-0.1,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.02,0.01,0.48,2.39,0.6,0.36,0.12,33.82,1.79,0.24,0.12,0.24,0.84,1.55,2.03,5.86,0.0,0.0,60.36,0.6,28.09,0.6,0.6,1.2,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,-0.02,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,53.3,83.3,52.8,0.0,1998,giorgio altare
Adam Armstrong,eng ENG,28.0,1997.0,eng Premier League,"FW,MF",20,15,1248,13.9,12,5,6,231,0.8,0.0,2,2.3,0.14,0.14,0.29,0.14,0.0,0.29,0.0,0.17,0.09,1.8,1.51,5.7,1.8,0.5,16.66,0.72,0.58,0.14,0.07,1.01,0.87,0.22,0.58,0.0,0.0,27.19,0.43,16.95,0.79,1.3,0.87,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,-0.09,28.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,80.2,21.4,42.9,35.7,0.0,1997,adam armstrong
Emil Audero,id IDN,28.0,1997.0,it Serie A,GK,8,8,720,8.0,0,2,0,209,0.0,-5.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.12,0.0,33.62,0.0,22.12,0.0,0.0,0.0,0.0,0.0,1.5,2.25,4.25,2.0,0.0,0.0,3.75,0.62,0.25,1.0,1.55,0.0,0.0,0.0,-0.7,0.0,28.6,22.0,12.9,5.3,82.6,0.0,0.0,66.7,58.8,1997,emil audero
Jonathan Bamba,ci CIV,29.0,1996.0,es La Liga,"FW,MF",12,10,811,9.0,12,5,15,287,-0.8,0.0,0,0.8,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.09,0.2,3.44,3.33,7.88,1.44,0.67,31.85,2.22,1.44,0.67,0.11,2.77,1.33,0.55,0.67,0.0,0.0,51.94,1.66,34.07,2.22,1.44,0.78,0.0,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,-0.09,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8,41.7,39.5,33.3,0.0,1996,jonathan bamba
Jaka Bijol,si SVN,26.0,1999.0,it Serie A,DF,34,34,2963,32.9,43,109,2,1432,-0.6,0.0,1,2.0,0.03,0.0,0.03,0.03,0.0,0.39,0.03,0.06,0.02,0.67,2.98,0.3,0.58,0.18,43.5,3.31,0.24,0.06,0.36,0.09,1.31,1.15,5.53,0.03,0.0,63.27,0.06,36.81,0.52,0.06,1.49,0.0,0.03,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,-0.03,31.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,83.6,52.5,66.7,67.7,0.0,1999,jaka bijol
Mathieu Cafaro,fr FRA,28.0,1997.0,fr Ligue 1,"MF,FW",15,9,732,8.1,10,3,7,172,-1.3,0.0,1,1.5,0.12,0.0,0.12,0.12,0.0,0.37,0.12,0.18,0.16,2.34,1.97,6.27,2.83,1.23,21.15,1.48,1.11,0.49,0.12,3.32,1.23,0.86,0.37,0.0,0.12,39.84,0.86,20.78,1.97,1.23,1.35,0.0,0.12,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,-0.06,43.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,72.0,26.7,41.2,42.9,0.0,1997,mathieu cafaro
Diego Carlos,br BRA,32.0,1993.0,eng Premier League,DF,10,8,830,9.2,8,11,2,534,0.0,0.0,0,0.6,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.07,0.0,0.33,3.69,0.0,0.43,0.11,57.9,2.49,0.11,0.0,0.65,0.0,0.87,0.54,3.9,0.22,0.0,73.08,0.22,45.43,0.11,0.22,1.19,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,-0.07,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6,66.7,100.0,52.4,0.0,1993,diego carlos
Juan Cruz Armada,es ESP,32.0,1992.0,es La Liga,DF,25,19,1492,16.6,26,9,1,525,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.01,0.0,0.54,3.2,0.72,0.24,0.0,31.67,3.26,0.12,0.0,0.12,0.66,1.57,0.54,4.1,0.0,0.0,49.4,0.06,20.33,0.6,0.18,0.97,0.0,0.06,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,62.5,25.0,47.4,0.0,1992,juan cruz armada
Jáder Durán,co COL,21.0,2003.0,eng Premier League,FW,20,4,638,7.1,8,19,3,115,-0.2,0.0,7,4.9,0.99,0.0,0.99,0.99,0.0,0.42,0.14,0.69,0.03,0.99,1.83,6.21,4.37,2.12,16.22,1.41,0.14,0.0,0.0,0.42,1.13,0.0,1.83,0.0,0.42,37.1,0.42,18.76,2.26,2.12,1.97,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.3,48.4,0.23,0.0,0.0,0.0,0.0,0.0,0.0,70.6,25.0,21.4,50.0,0.0,2003,jader duran
Przemysław Frankowski,pl POL,30.0,1995.0,fr Ligue 1,DF,18,16,1387,15.4,32,8,6,875,-0.5,0.0,2,0.7,0.26,0.13,0.39,0.13,0.13,0.19,0.0,0.05,0.16,2.14,7.59,6.16,0.91,0.32,56.78,5.84,2.34,0.65,0.13,5.06,2.08,1.23,1.82,0.0,0.06,79.81,0.39,41.33,1.04,0.52,1.17,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.11,35.7,0.14,0.0,0.0,0.0,0.0,0.0,0.0,80.1,63.3,37.5,57.1,0.0,1995,przemysław frankowski
Glen Kamara,fi FIN,29.0,1995.0,fr Ligue 1,MF,13,8,662,7.4,23,2,4,372,0.8,0.0,0,0.2,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.03,0.03,0.68,4.62,2.99,0.14,0.0,50.57,4.62,1.09,0.0,0.0,0.0,3.13,0.95,0.95,0.0,0.0,64.71,0.54,36.44,0.95,0.82,0.95,0.0,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3,64.7,50.0,25.0,0.0,1995,glen kamara
Magnus Kofod Andersen,dk DEN,26.0,1999.0,it Serie A,MF,14,7,695,7.7,13,8,2,247,0.5,0.0,1,0.3,0.13,0.13,0.26,0.13,0.0,0.13,0.0,0.04,0.06,0.91,3.11,2.33,1.04,0.26,31.99,2.33,0.39,0.0,0.13,2.07,1.68,0.78,1.55,0.0,0.13,47.91,0.26,29.78,1.04,0.78,0.91,0.0,0.0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.09,25.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,79.9,40.0,50.0,53.3,0.0,1999,magnus kofod andersen
Mario Lemina,ga GAB,31.0,1993.0,eng Premier League,"MF,DF",17,15,1364,15.2,51,25,10,493,1.9,0.0,1,1.4,0.07,0.2,0.26,0.07,0.0,0.26,0.0,0.09,0.07,0.53,3.17,1.39,1.19,0.33,32.53,2.84,0.86,0.26,0.26,0.66,3.37,1.78,3.3,0.2,0.0,53.38,0.66,25.21,1.39,0.73,1.12,0.0,0.07,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,-0.03,27.8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,80.4,69.0,62.5,61.0,0.0,1993,mario lemina
Giangiacomo Magnani,it ITA,29.0,1995.0,it Serie A,DF,17,11,1065,11.8,20,29,1,317,0.0,0.0,1,1.1,0.08,0.0,0.08,0.08,0.0,0.17,0.0,0.09,0.0,0.34,2.62,0.59,0.93,0.17,26.79,1.86,0.0,0.0,0.17,0.17,1.69,1.44,6.17,0.08,0.0,45.63,0.08,21.21,0.34,0.08,0.68,0.0,0.0,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,-0.01,18.2,0.09,0.0,0.0,0.0,0.0,0.0,0.0,80.7,100.0,25.0,61.7,0.0,1995,giangiacomo magnani
Álvaro Morata,es ESP,32.0,1992.0,it Serie A,"FW,MF",16,13,1099,12.2,16,14,6,202,-0.8,0.0,5,3.9,0.41,0.0,0.41,0.41,0.0,0.41,0.0,0.32,0.07,1.47,2.13,5.16,2.21,0.82,16.54,1.23,0.25,0.0,0.41,1.06,1.31,0.41,0.41,0.0,0.16,31.36,0.49,17.61,1.97,1.31,2.05,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.09,37.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,75.4,62.5,35.3,41.2,0.0,1992,alvaro morata
